preferred_name,formula,molecular_weight,amine_class_label,amine_class,amine_detail,amine_substituents,amine_substituent_profile,amine_substituent_count,fluorinated_amine,fluorinated_substituent_count,amine_fluorination_level,unsaturated_amine,cyclic_amine_or_substituent,ring_name,precursor_family,semiconductor_process_roles,semiconductor_relevance_basis,gwp100_ar6,gwp100_ar6_status,gwp100_ar6_source,pfas_flag,persistence_screen,reactive_groups,reactivity_flags,phase_25C_1atm,supply_class,tm_C,tb_C,tc_C,pc_MPa,pvap_25C_kPa,pvap_25C_status,pvap_40C_kPa,pvap_40C_status,pvap_60C_kPa,pvap_60C_status,kinetics_coverage,data_quality,review_required,identity_status,candidate_source,generation_rule,structure_status,candidate_id
triethylamine,C6H15N,101.19300000000001,tertiary_amine,tertiary,tertiary_amine,ethyl; ethyl; ethyl,alkyl,3,no,0,none,no,no,,,,,,missing,,no,unknown,Amines / basic nitrogen compounds; Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review,liquid,heated_source_likely,-114.69999999999999,88.85000000000002,261.85,3.04,7.2,value_available,14.0,value_available,33.0,value_available,partial,Partial,True,manual_review_required,seed,seed_list,valid,8caadafb-46c7-5f56-85d4-512f9627637c
ammonia,H3N,17.031,inorganic_nitrogen_source,inorganic_nitrogen_source,inorganic_nitrogen_source_amine,,,0,no,0,none,no,no,,nitrogen_source,nitridation; ald_nitrogen_source; chamber_clean_review,common semiconductor nitrogen-containing process gas,,missing,,no,unknown,Inorganic nitrogen source,acid_base_reactive; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-77.74999999999997,-33.349999999999966,115.39682000000005,5.1752365,2518.190949239,value_available,4739.964322173,value_available,8000.0,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,fcd2825c-c124-573c-ae52-53d9ddee2e1f
methylamine,CH5N,31.058,primary_amine,primary,primary_amine,methyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile primary amine,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-178.14999999999998,-34.774599999999964,117.05816000000004,5.056007,3156.158389203,value_available,6087.50372943,value_available,8000.0,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b8702779-98e6-5bae-ab30-f32f679937b7
dimethylamine,C2H7N,45.085,secondary_amine,secondary,secondary_amine,methyl; methyl,alkyl,2,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile secondary amine,,missing,,no,unknown,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-165.93269999999998,-4.539499999999975,150.37920000000003,4.9367775,484.1685938,value_available,956.9100193329999,value_available,2157.3727794690003,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,537bf6cf-8aa5-5491-af43-205806523044
trimethylamine,C3H9N,59.112,tertiary_amine,tertiary,tertiary_amine,methyl; methyl; methyl,alkyl,3,no,0,none,no,no,,volatile_amine,volatile_base_candidate; surface_chemistry_modifier,small volatile tertiary amine,,missing,,no,unknown,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,5fe180cf-7f23-5ebf-a382-d1b761b8f322
ethylamine,C2H7N,45.085,primary_amine,primary,primary_amine,ethyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile primary amine,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-165.93269999999998,-4.539499999999975,150.37920000000003,4.9367775,484.1685938,value_available,956.9100193329999,value_available,2157.3727794690003,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b29e2639-67d6-5218-b4b0-9a1223b200d0
diethylamine,C4H11N,73.139,secondary_amine,secondary,secondary_amine,ethyl; ethyl,alkyl,2,no,0,none,no,no,,volatile_amine,ligand_exchange_candidate; volatile_base_candidate,small volatile secondary amine,,missing,,no,unknown,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-127.21817999999999,31.9307,193.02128000000005,4.6983185,71.671103295,value_available,148.732764334,value_available,355.421375971,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,5476320c-b9b4-5e5e-83b0-46d69898eeca
isopropylamine,C3H9N,59.112,primary_amine,primary,primary_amine,isopropyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,branched volatile primary amine,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,f187694b-2f58-53fc-b522-fb59ebecfcb0
tert-butylamine,C4H11N,73.139,primary_amine,primary,primary_amine,tert-butyl,alkyl,1,no,0,none,no,no,,bulky_amine,sterically_hindered_ligand_candidate; volatile_base_candidate,bulky primary amine used as ligand motif,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-127.21817999999999,31.9307,193.02128000000005,4.6983185,71.671103295,value_available,148.732764334,value_available,355.421375971,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,f9334667-fb4c-5d67-8166-58a583ac8723
diisopropylamine,C6H15N,101.19300000000001,secondary_amine,secondary,secondary_amine,isopropyl; isopropyl,alkyl,2,no,0,none,no,no,,bulky_amine,sterically_hindered_ligand_candidate; volatile_base_candidate,bulky secondary amine ligand motif,,missing,,no,unknown,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-88.50365999999997,68.40090000000004,235.66336,4.4598595,12.835282693,value_available,27.967656113,value_available,70.839545523,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,7bcce7d7-22fa-513f-b919-11f0fc14b9d8
diisopropylethylamine,C8H19N,129.247,tertiary_amine,tertiary,tertiary_amine,ethyl; isopropyl; isopropyl,alkyl,3,no,0,none,no,no,,bulky_amine,sterically_hindered_base_candidate; ligand_exchange_candidate,hindered tertiary amine base motif,,missing,,no,unknown,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-49.789139999999975,104.87110000000001,278.30544,4.2214005,2.631726744,value_available,6.021150732,value_available,16.165234011,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,8dc3f8e9-6621-5c78-bda8-6ac94b4062a7
ethylenediamine,C2H8N2,60.1,diamine,diamine,diamine_amine,aminoethyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; nitrogen_source_candidate,small diamine ligand family,,missing,,no,unknown,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-137.212,22.980000000000018,181.202,4.92915,112.434623645,value_available,233.44518924599998,value_available,558.196464578,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,e8d8b5a6-ffe8-5fc7-8767-d9bde537fb93
"1,3-diaminopropane",C3H10N2,74.12700000000001,diamine,diamine,diamine_amine,aminopropyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; nitrogen_source_candidate,small diamine ligand family,,missing,,no,unknown,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-117.85473999999996,41.21510000000001,202.52304000000004,4.8099205,44.941476683,value_available,95.615044793,value_available,235.380123489,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,268ceb85-4a08-54fc-898c-a51db30f6a77
"N,N-dimethylethylenediamine",C4H12N2,88.154,diamine,diamine,diamine_amine,dimethylaminoethyl,alkyl,1,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; surface_chemistry_modifier,tertiary/primary diamine ligand motif,,missing,,no,unknown,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-98.49747999999997,59.450199999999995,223.84408000000002,4.690691,18.785045088,value_available,40.952948264,value_available,103.793492812,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,7f5a1e3f-a758-5977-a6a7-874694ddd867
tetramethylethylenediamine,C6H16N2,116.208,diamine,diamine,diamine_amine,dimethylaminoethyl; methyl; methyl,alkyl,3,no,0,none,no,no,,diamine_ligand,chelating_ligand_candidate; volatile_base_candidate,tertiary diamine ligand motif,,missing,,no,unknown,Diamines / chelating nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-59.782959999999974,95.92040000000003,266.48616000000004,4.452232,3.654957011,value_available,8.366489628,value_available,22.475586444,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,55234f94-15e9-533a-8ef9-a7b82abeb549
tris(2-aminoethyl)amine,C6H18N4,146.238,polyamine,polyamine,polyamine_amine,aminoethyl; aminoethyl; aminoethyl,alkyl,3,no,0,none,no,no,,polyamine_ligand,multidentate_ligand_candidate; nitrogen_source_candidate,multidentate amine ligand motif,,missing,,no,unknown,Polyamines / multidentate nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_required,-2.3415599999999586,150.95940000000002,328.13176,4.436977,0.323744575,value_available,0.8178699380000001,value_available,2.4714289,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,457075c3-248b-577d-87dc-f7f6a766162e
pyrrolidine,C4H9N,71.123,cyclic_amine,cyclic,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; ligand_exchange_candidate,small saturated cyclic amine,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-118.00025999999997,41.30990000000003,201.95696000000004,4.7154545,46.137152384000004,value_available,95.409306928,value_available,227.044391012,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,3f5a6f2e-d910-51f3-ad71-fe1bee1a6daf
piperidine,C5H11N,85.15,cyclic_amine,cyclic,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; ligand_exchange_candidate,small saturated cyclic amine,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-98.64299999999997,59.545000000000016,223.27800000000002,4.596225,19.895483153,value_available,42.158823393,value_available,103.288012016,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,20046e71-ea09-55ed-b3ca-4e5243754b63
morpholine,C4H9NO,87.122,cyclic_amine,cyclic,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,oxygenated_ligand_candidate; volatile_base_candidate,oxygen-containing cyclic amine,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-95.92163999999997,62.108600000000024,226.27544,4.699463,17.727846183,value_available,37.694617404999995,value_available,92.729513375,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,23d4cd50-ca6d-5c10-be64-6bfb9d652fa7
piperazine,C4H10N2,86.13799999999999,cyclic_amine,cyclic,cyclic_amine,,cyclic_ring,0,no,0,none,no,yes,,cyclic_amine,diamine_ligand_candidate; nitrogen_source_candidate,cyclic diamine ligand motif,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-89.27955999999998,68.82940000000002,232.77976,4.707827,12.710446307,value_available,27.612843184000003,value_available,69.691405449,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b3593dce-20a4-5402-874a-3a3dcd0e92f0
N-methylpyrrolidine,C5H11N,85.15,cyclic_amine,cyclic,cyclic_amine,methyl,cyclic_ring,1,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; surface_chemistry_modifier,N-alkyl cyclic amine motif,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-98.64299999999997,59.545000000000016,223.27800000000002,4.596225,19.895483153,value_available,42.158823393,value_available,103.288012016,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,fc25af01-44f5-5655-a7f3-94af53d71ade
N-methylpiperidine,C6H13N,99.177,cyclic_amine,cyclic,cyclic_amine,methyl,cyclic_ring,1,no,0,none,no,yes,,cyclic_amine,volatile_base_candidate; surface_chemistry_modifier,N-alkyl cyclic amine motif,,missing,,no,unknown,Cyclic amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-79.28573999999998,77.7801,244.59904000000006,4.4769955,8.880483746,value_available,19.282558232,value_available,48.637079509,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,13155b79-ca53-54f6-9129-a020f85a9ee5
2-fluoroethylamine,C2H6FN,63.074999999999996,primary_amine,primary,fluorinated_primary_amine,fluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small fluorinated amine candidate,,missing,,possible,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,gas,compressed_or_liquefied_gas,-135.60649999999998,22.847500000000025,181.72400000000005,4.7838625,113.03353280099999,value_available,232.287389836,value_available,548.65340283,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,a4c8bc40-8e57-538f-9c11-082c8ad53eaf
"2,2-difluoroethylamine",C2H5F2N,81.06500000000001,primary_amine,primary,fluorinated_primary_amine,difluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small fluorinated amine candidate,,missing,,possible,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-105.28029999999998,50.234500000000025,213.0688,4.6309475,29.411336312,value_available,62.845897866,value_available,155.51336859100002,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,e119596c-ebda-50d5-8539-f29b9b07a5a9
"2,2,2-trifluoroethylamine",C2H4F3N,99.05499999999999,primary_amine,primary,fluorinated_primary_amine,trifluoroethyl,fluorinated_alkyl,1,yes,1,single_fluorinated_substituent,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; etch_clean_candidate_review,small trifluoroethyl amine candidate,,missing,,yes,likely_persistent,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-74.95409999999998,77.62150000000003,244.41359999999997,4.4780325,8.315484033999999,value_available,18.475387571,value_available,47.89638118,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,63cad913-7e57-5cc8-bc2c-dc06df05e4ef
