preferred_name,formula,molecular_weight,amine_class_label,amine_class,amine_detail,amine_substituents,amine_substituent_profile,amine_substituent_count,fluorinated_amine,fluorinated_substituent_count,amine_fluorination_level,unsaturated_amine,cyclic_amine_or_substituent,ring_name,precursor_family,semiconductor_process_roles,semiconductor_relevance_basis,gwp100_ar6,gwp100_ar6_status,gwp100_ar6_source,pfas_flag,persistence_screen,reactive_groups,reactivity_flags,phase_25C_1atm,supply_class,tm_C,tb_C,tc_C,pc_MPa,pvap_25C_kPa,pvap_25C_status,pvap_40C_kPa,pvap_40C_status,pvap_60C_kPa,pvap_60C_status,kinetics_coverage,data_quality,review_required,identity_status,candidate_source,generation_rule,structure_status,candidate_id
"bis(2,2,2-trifluoroethyl)amine",C4H5F6N,181.079,secondary_amine,secondary,fluorinated_secondary_amine,trifluoroethyl; trifluoroethyl,fluorinated_alkyl,2,yes,2,multiple_fluorinated_substituents,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; pfas_screening_candidate,fluorinated secondary amine candidate,,missing,,yes,likely_persistent,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,54.73902000000004,196.2527,381.09008000000006,3.7808285,0.065540656,value_available,0.17188438199999997,value_available,0.543104516,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b1304f43-74bf-5b24-8de7-cd2677e08c39
"tris(2,2,2-trifluoroethyl)amine",C6H6F9N,263.103,tertiary_amine,tertiary,fluorinated_tertiary_amine,trifluoroethyl; trifluoroethyl; trifluoroethyl,fluorinated_alkyl,3,yes,3,multiple_fluorinated_substituents,no,no,,fluorinated_amine,fluorinated_nitrogen_candidate; pfas_screening_candidate,fluorinated tertiary amine candidate,,missing,,yes,likely_persistent,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; fluorinated_amine_pfas_persistence_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,184.43214,314.88390000000004,517.76656,3.0836245,0.00090191,value_available,0.002791954,value_available,0.010752095000000001,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b8c18890-ba9c-5822-bb3f-0658adc01c91
dimethylaminosilane,C2H9NSi,75.18599999999999,amino_silane,amino_silane,amino_silane_amine,dimethylamino,alkyl,1,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,amino-silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,bubbler_or_direct_liquid_source,-90.39331999999999,50.591800000000035,212.13272,4.680919,30.193711244,value_available,62.881815938,value_available,150.906089318,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,3f492534-fb92-5377-ab58-769acaafd685
diethylaminosilane,C4H13NSi,103.24,amino_silane,amino_silane,amino_silane_amine,diethylamino,alkyl,1,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,amino-silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-51.67879999999997,87.06200000000001,254.77480000000003,4.44246,6.074366072,value_available,13.283044013000001,value_available,33.787970205,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,6aeaa4af-dd21-56b9-a7f6-9564d320b1a0
bis(dimethylamino)silane,C4H14N2Si,118.255,amino_silane,amino_silane,amino_silane_amine,dimethylamino; dimethylamino,alkyl,2,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,bis(amino)silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-22.958099999999973,114.5815,285.59760000000006,4.4348325,1.834383898,value_available,4.214026392,value_available,11.368673711,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,9332abc1-2ddf-5d20-9134-cc237f28db8f
bis(diethylamino)silane,C8H22N2Si,174.363,amino_silane,amino_silane,amino_silane_amine,diethylamino; diethylamino,alkyl,2,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,bis(amino)silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,54.47094000000004,187.52190000000002,370.88176,3.9579145,0.107961248,value_available,0.273433087,value_available,0.828760833,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,19f0ebee-0e84-5f83-b8e0-96f2734a7df6
tris(dimethylamino)silane,C6H19N3Si,161.324,amino_silane,amino_silane,amino_silane_amine,dimethylamino; dimethylamino; dimethylamino,alkyl,3,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,tris(amino)silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,heated_source_required,44.47712000000001,178.57120000000003,359.06248000000005,4.188746,0.137955785,value_available,0.349579038,value_available,1.0602024289999998,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,1abf161d-37a4-5c75-8ea5-6e162f83a05d
tetrakis(dimethylamino)silane,C8H24N4Si,204.393,amino_silane,amino_silane,amino_silane_amine,dimethylamino; dimethylamino; dimethylamino; dimethylamino,alkyl,4,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; ald_cvd_precursor_candidate,tetrakis(amino)silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,111.91234000000003,242.56090000000006,432.52736000000004,3.9426595,0.011862267,value_available,0.033156724,value_available,0.113043576,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,2785471f-d974-51c5-8b95-a9ca437d6187
hexamethyldisilazane,C6H19NSi2,161.395,silylamine,silylamine,silylamine_amine,trimethylsilyl; trimethylsilyl,alkyl,2,no,0,none,no,no,,silylamine_surface_modifier,surface_passivation_candidate; silylation_candidate,silylamine surface chemistry motif,,missing,,no,unknown,Silylamines / surface modifier amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,heated_source_required,44.57510000000002,178.6635,359.1704,3.9481425,0.191083489,value_available,0.46231925,value_available,1.326834836,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,938830ad-fc88-5688-b736-008489952762
tert-butylaminosilane,C4H13NSi,103.24,amino_silane,amino_silane,amino_silane_amine,tert-butylamino,alkyl,1,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; sterically_hindered_ligand_candidate,bulky amino-silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_likely,-51.67879999999997,87.06200000000001,254.77480000000003,4.44246,6.074366072,value_available,13.283044013000001,value_available,33.787970205,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,b6264698-a674-5360-9efb-df9913f61b8b
bis(tert-butylamino)silane,C8H22N2Si,174.363,amino_silane,amino_silane,amino_silane_amine,tert-butylamino; tert-butylamino,alkyl,2,no,0,none,no,no,,aminosilane_precursor,silicon_precursor_candidate; sterically_hindered_ligand_candidate,bulky bis(amino)silane precursor motif,,missing,,no,unknown,Aminosilanes / silicon precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,54.47094000000004,187.52190000000002,370.88176,3.9579145,0.107961248,value_available,0.273433087,value_available,0.828760833,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,fc56c2fe-cf42-5b57-bec5-7d9ae19031fe
tris(dimethylamino)borane,C6H18BN3,143.041,boron_amide,boron_amide,boron_amide_amine,dimethylamino; dimethylamino; dimethylamino,alkyl,3,no,0,none,no,no,,boron_amide_precursor,boron_precursor_candidate; ald_cvd_precursor_candidate,amino-boron precursor motif,,missing,,no,unknown,Boron amides / boron precursor amines,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,liquid,heated_source_required,13.246579999999994,148.80330000000004,325.27232000000004,4.3441515,0.413865086,value_available,1.015911395,value_available,2.96634906,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,01d51df4-6e3a-5eaa-be13-fa4e4126c238
tetrakis(dimethylamido)titanium,C8H24N4Ti,224.175,metal_amide,metal_amide,metal_amide_amine,dimethylamido; dimethylamido; dimethylamido; dimethylamido,alkyl,4,no,0,none,no,no,,metal_amide_precursor,titanium_precursor_candidate; ald_cvd_precursor_candidate,metal amido precursor motif,,missing,,no,unknown,Metal amides / ALD-CVD precursor amides,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,solid,solid_or_sublimation_source_review,151.2115,280.27750000000003,474.596,3.7745125,0.003656838,value_available,0.010579136,value_available,0.037579619,value_available,not_checked,Partial,True,manual_review_required,semiconductor_amine,semiconductor_amine_curated,valid,745d07ec-ffec-5484-b582-7fe9adf56386
generated_primary_amine_n-propyl,C3H9N,59.112,primary_amine,primary,primary_amine,n-propyl,alkyl,1,no,0,none,no,no,,,,,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review,gas,compressed_or_liquefied_gas,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,not_checked,Partial,True,manual_review_required,template_generation,primary_amine,valid,91f07ac5-6e7f-53ed-a531-5f603ce771c3
generated_primary_amine_isopropyl,C3H9N,59.112,primary_amine,primary,primary_amine,isopropyl,alkyl,1,no,0,none,no,no,,,,,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review,gas,compressed_or_liquefied_gas,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,not_checked,Partial,True,manual_review_required,template_generation,primary_amine,valid,f4fc3dee-d43b-5082-942e-1dc8d4ef0a02
generated_primary_amine_n-butyl,C4H11N,73.139,primary_amine,primary,primary_amine,n-butyl,alkyl,1,no,0,none,no,no,,,,,,missing,,no,unknown,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review,liquid,bubbler_or_direct_liquid_source,-127.21817999999999,31.9307,193.02128000000005,4.6983185,71.671103295,value_available,148.732764334,value_available,355.421375971,value_available,not_checked,Partial,True,manual_review_required,template_generation,primary_amine,valid,216906b7-d1e1-5703-a926-0f9018a386e7
